Distance,Error_Rate(p),Error_Type,Best_ECR(%),Accuracy(%),Inference_Time(ms),Epochs,Learning_Rate,Train_Loss,Val_Loss
3,0.005,X,89.25,89.92,0.0004,1,0.001,0.492982,0.463018
3,0.005,X,90.71,89.20,0.0001,2,0.001,0.461159,0.456752
3,0.005,X,88.61,90.81,0.0001,3,0.001,0.456210,0.455256
3,0.005,X,89.63,90.21,0.0001,4,0.001,0.453899,0.451111
3,0.005,X,89.60,90.12,0.0001,5,0.001,0.452239,0.452194
3,0.005,X,92.04,88.19,0.0002,6,0.001,0.451211,0.451759
3,0.005,X,89.05,90.47,0.0002,7,0.001,0.450354,0.452712
3,0.005,X,90.36,89.66,0.0001,8,0.001,0.449620,0.450957
3,0.005,X,89.46,90.48,0.0001,9,0.001,0.448921,0.451939
3,0.005,X,90.42,89.59,0.0001,10,0.001,0.448303,0.453440
3,0.005,X,89.11,90.63,0.0001,11,0.001,0.447695,0.455387
3,0.01,X,89.17,87.85,0.0002,1,0.001,0.515820,0.494342
3,0.01,X,90.00,86.96,0.0001,2,0.001,0.489596,0.491481
3,0.01,X,88.97,88.24,0.0001,3,0.001,0.486322,0.490909
3,0.01,X,90.04,86.97,0.0001,4,0.001,0.484561,0.490065
3,0.01,X,89.16,87.95,0.0001,5,0.001,0.483480,0.488428
3,0.01,X,89.28,87.87,0.0002,6,0.001,0.482654,0.489410
3,0.01,X,88.32,88.50,0.0002,7,0.001,0.482128,0.489421
3,0.01,X,87.09,89.87,0.0002,8,0.001,0.481587,0.489134
3,0.01,X,89.94,87.59,0.0001,9,0.001,0.481156,0.488671
3,0.05,X,75.77,83.57,0.0001,1,0.001,0.722023,0.702009
3,0.05,X,78.96,80.62,0.0001,2,0.001,0.704750,0.699634
3,0.05,X,83.66,76.56,0.0002,3,0.001,0.702962,0.698617
3,0.05,X,78.73,81.12,0.0002,4,0.001,0.702166,0.698592
3,0.05,X,82.26,78.05,0.0002,5,0.001,0.701622,0.698133
3,0.05,X,78.54,81.33,0.0002,6,0.001,0.701255,0.697824
3,0.05,X,79.42,80.42,0.0002,7,0.001,0.700933,0.697681
3,0.05,X,80.09,79.89,0.0001,8,0.001,0.700686,0.697636
7,0.005,X,87.95,87.06,0.0003,1,0.001,0.728084,0.628721
7,0.005,X,89.39,87.53,0.0001,2,0.001,0.599016,0.585921
7,0.005,X,90.23,88.04,0.0001,3,0.001,0.564020,0.563515
7,0.005,X,90.58,88.34,0.0001,4,0.001,0.539966,0.550476
7,0.005,X,90.28,89.00,0.0001,5,0.001,0.523680,0.540609
7,0.005,X,90.06,89.61,0.0001,6,0.001,0.510549,0.534812
7,0.005,X,90.16,89.60,0.0001,7,0.001,0.500607,0.532396
7,0.005,X,90.17,89.61,0.0001,8,0.001,0.490893,0.533699
7,0.005,X,90.12,89.66,0.0001,9,0.001,0.482533,0.533290
7,0.01,X,87.01,85.75,0.0001,1,0.001,0.748247,0.660205
7,0.01,X,89.03,86.03,0.0001,2,0.001,0.628870,0.613039
7,0.01,X,89.42,87.19,0.0001,3,0.001,0.591857,0.586098
7,0.01,X,89.58,87.81,0.0001,4,0.001,0.569860,0.573354
7,0.01,X,89.28,88.55,0.0001,5,0.001,0.555938,0.565240
7,0.01,X,89.92,88.23,0.0001,6,0.001,0.545553,0.557665
7,0.01,X,89.69,88.58,0.0001,7,0.001,0.537586,0.554771
7,0.01,X,89.46,89.00,0.0001,8,0.001,0.530848,0.551929
7,0.01,X,89.25,89.31,0.0001,9,0.001,0.524394,0.550973
7,0.01,X,90.44,88.13,0.0001,10,0.001,0.519533,0.550678
7,0.01,X,89.66,89.05,0.0001,11,0.001,0.514674,0.549010
7,0.01,X,89.18,89.55,0.0001,12,0.001,0.510052,0.549504
7,0.01,X,89.64,89.11,0.0001,13,0.001,0.506132,0.548788
7,0.01,X,89.60,89.24,0.0001,14,0.001,0.502577,0.550794
7,0.01,X,89.32,89.32,0.0001,15,0.001,0.499325,0.552552
7,0.05,X,82.09,75.49,0.0001,1,0.001,0.936586,0.859403
7,0.05,X,81.84,79.36,0.0001,2,0.001,0.830813,0.809613
7,0.05,X,81.78,80.54,0.0001,3,0.001,0.800048,0.791621
7,0.05,X,82.61,80.38,0.0001,4,0.001,0.785754,0.781339
7,0.05,X,82.27,81.11,0.0001,5,0.001,0.776310,0.774879
7,0.05,X,82.12,81.61,0.0001,6,0.001,0.769216,0.769131
7,0.05,X,83.14,80.91,0.0001,7,0.001,0.763970,0.765414
7,0.05,X,82.90,81.34,0.0001,8,0.001,0.759627,0.762888
7,0.05,X,82.92,81.42,0.0001,9,0.001,0.756311,0.761144
7,0.05,X,83.25,81.24,0.0002,10,0.001,0.753468,0.758729
7,0.05,X,84.07,80.58,0.0002,11,0.001,0.751127,0.757602
7,0.05,X,83.77,80.86,0.0002,12,0.001,0.748924,0.757405
7,0.05,X,84.02,80.67,0.0002,13,0.001,0.747062,0.757171
7,0.05,X,82.37,82.26,0.0002,14,0.001,0.745511,0.756382
7,0.05,X,83.37,81.42,0.0001,15,0.001,0.744092,0.754721
7,0.05,X,82.96,81.86,0.0001,16,0.001,0.742706,0.754572
